Number of board positions: 19601313
Batch Size: 128
Epoch: 1
99999it [2:49:30, 14.57it/s] Validation Loss: 2988.739013671875
101998it [2:52:35, 15.78it/s] Loss:  3027.9511213302612
101998it [2:52:50, 15.78it/s] Validation Loss: 3007.633056640625
103995it [2:56:07, 14.19it/s] Loss:  3009.799813389778
103995it [2:56:20, 14.19it/s] Validation Loss: 3001.672607421875
105993it [2:59:31, 14.72it/s] Loss:  3023.7487020492554
105993it [2:59:50, 14.72it/s] Validation Loss: 3011.04541015625
107997it [3:02:54, 15.07it/s] Loss:  3021.0151686668396
107997it [3:03:10, 15.07it/s] Validation Loss: 3000.335205078125
109995it [3:06:15, 14.94it/s] Loss:  3021.7551550865173
109995it [3:06:30, 14.94it/s] Validation Loss: 3012.415283203125
111998it [3:09:34, 16.01it/s] Loss:  2999.7626402378082
111998it [3:09:50, 16.01it/s] Validation Loss: 2989.053466796875
113998it [3:12:52, 20.02it/s] Loss:  3015.0353922843933
113998it [3:13:10, 20.02it/s] Validation Loss: 3006.517822265625
115998it [3:16:11, 15.07it/s] Loss:  3015.816897034645
115998it [3:16:30, 15.07it/s] Validation Loss: 2993.733154296875
117998it [3:19:29, 14.11it/s] Loss:  2996.6199601888657
117998it [3:19:40, 14.11it/s] Validation Loss: 2986.06298828125
119998it [3:22:48, 16.18it/s] Loss:  3004.81626868248
119998it [3:23:00, 16.18it/s] Validation Loss: 3012.0927734375
121998it [3:26:07, 16.59it/s] Loss:  3005.722979784012
121998it [3:26:20, 16.59it/s] Validation Loss: 2994.941162109375
123998it [3:29:26, 19.32it/s] Loss:  2994.9233664274216
123998it [3:29:40, 19.32it/s] Validation Loss: 2992.046142578125
125994it [3:32:45, 14.82it/s] Loss:  3002.8286261558533
125994it [3:33:00, 14.82it/s] Validation Loss: 2984.733154296875
127997it [3:36:04, 15.87it/s] Loss:  2996.5240794420242
127997it [3:36:20, 15.87it/s] Validation Loss: 2996.4013671875
129998it [3:39:35, 17.18it/s] Loss:  3006.313332080841
129998it [3:39:50, 17.18it/s] Validation Loss: 3020.084716796875
131996it [3:43:10, 17.62it/s] Loss:  2998.286178469658
131996it [3:43:30, 17.62it/s] Validation Loss: 3000.590576171875
133997it [3:46:45, 18.35it/s] Loss:  2993.7636411190033
133997it [3:47:00, 18.35it/s] Validation Loss: 2976.33154296875
135997it [3:50:13, 12.98it/s] Loss:  2992.8907817602158
135997it [3:50:30, 12.98it/s] Validation Loss: 2975.36474609375
137997it [3:53:40, 18.85it/s] Loss:  3016.9696167707443
137997it [3:53:50, 18.85it/s] Validation Loss: 3014.9951171875
139999it [3:57:08, 20.72it/s] Loss:  2990.230862379074
139999it [3:57:20, 20.72it/s] Validation Loss: 2980.90625
141997it [4:00:38, 19.88it/s] Loss:  2996.061195373535
141997it [4:00:50, 19.88it/s] Validation Loss: 3002.186767578125
143993it [4:04:08, 16.13it/s] Loss:  2994.714656472206
143993it [4:04:20, 16.13it/s] Validation Loss: 2959.699462890625
145998it [4:07:39, 19.35it/s] Loss:  2980.7227256298065
145998it [4:07:50, 19.35it/s] Validation Loss: 2954.369140625
147995it [4:11:08, 17.94it/s] Loss:  2990.634486556053
147995it [4:11:20, 17.94it/s] Validation Loss: 2982.5126953125
149997it [4:14:38, 13.97it/s] Loss:  2984.2835755348206
149997it [4:14:50, 13.97it/s] Validation Loss: 2966.78662109375
151998it [4:18:08, 21.79it/s] Loss:  2979.197392821312
151998it [4:18:20, 21.79it/s] Validation Loss: 2985.063720703125
153136it [4:20:54,  9.78it/s]

